@RELATION pcap
@ATTRIBUTE frameNum NUMERIC
@ATTRIBUTE frameStat_0 NUMERIC
@ATTRIBUTE frameStat_1 NUMERIC
@ATTRIBUTE frameStat_2 NUMERIC
@ATTRIBUTE frameStat_3 NUMERIC
@ATTRIBUTE frameStat_4 NUMERIC
@ATTRIBUTE frameStat_5 NUMERIC
@ATTRIBUTE frameStat_6 NUMERIC
@ATTRIBUTE epoStat_0 NUMERIC
@ATTRIBUTE epoStat_1 NUMERIC
@ATTRIBUTE epoStat_2 NUMERIC
@ATTRIBUTE epoStat_3 NUMERIC
@ATTRIBUTE epoStat_4 NUMERIC
@ATTRIBUTE epoStat_5 NUMERIC
@ATTRIBUTE epoStat_6 NUMERIC
@ATTRIBUTE upStat_0 NUMERIC
@ATTRIBUTE upStat_1 NUMERIC
@ATTRIBUTE upStat_2 NUMERIC
@ATTRIBUTE upStat_3 NUMERIC
@ATTRIBUTE upStat_4 NUMERIC
@ATTRIBUTE upStat_5 NUMERIC
@ATTRIBUTE upStat_6 NUMERIC
@ATTRIBUTE non_httpFrameNum NUMERIC
@ATTRIBUTE upCounter NUMERIC
@ATTRIBUTE class {0, 1, 2}

@DATA
94,66,1440,694.64893617,70.0,677.00807229,0.171045063268,1.05110497224,6.103515625e-05,0.181304931641,0.0125647078278,0.00030517578125,0.0441179368029,3.47999679818,13.2320133777,66,702,79.4166666667,66.0,90.8202972297,6.70814145882,46.006729291,50,48,0
14,54,444,128.142857143,61.0,134.700120449,1.51686463947,3.49689204895,0.0001220703125,11.1395869255,0.896435077374,0.000762939453125,2.95850664327,3.16956794702,11.0603601761,54,444,106.75,60.0,127.663375719,2.25418155542,6.10774746952,11,8,0
172,66,1440,839.180232558,1440.0,641.187204699,-0.231534384901,1.17113322136,3.09944152832e-05,46.6359860897,0.305088508896,0.000244855880737,3.5560715023,12.9328641536,168.502043331,66,610,148.594202899,66,189.399992259,1.8631973003,4.47648996995,140,69,0
9,66,1080,194.777777778,66,315.4734635,2.4045968792,6.90855240541,0.000243902206421,0.155640125275,0.0628967583179,0.0804139375687,0.071578997828,0.470224862535,1.27429439899,66,195,93.4,66,50.8944004779,1.48641100398,3.23095150671,7,5,0
8,66,544,168.75,70.0,177.389225998,1.30395091131,2.90474901108,0.000183820724487,55.9255371094,8.04679213251,0.0013120174408,19.5466086197,2.04115694285,5.16648240805,66,544,163.2,66,190.425208415,1.49901287168,3.24866549792,6,5,0
21,54,498,133.095238095,56,135.830743684,1.67398644667,4.43342960327,9.10758972168e-05,53.2375490665,2.70169980526,0.00163292884827,11.5939272692,4.12923627319,18.0513451025,54,498,128.75,60.0,157.600298752,1.79052379269,4.23214599331,15,12,0
12,66,927,181.5,68.0,263.850810118,2.07938767429,5.73126320187,0.000121831893921,0.411864995956,0.078638271852,0.00726294517517,0.154696265021,1.64652824651,3.71969334278,66,927,190.142857143,66,300.833332391,2.04088207491,5.16587854164,9,7,0
17,66,1440,430.647058824,66,569.249964858,1.12236750251,2.38420252836,0.0,39.8239140511,2.59994125366,0.000411868095398,9.61568859118,3.60907697776,14.0406438773,66,535,113.7,66.0,140.45358664,2.66523767795,8.10660948069,14,10,0
14,66,1440,330.214285714,70.0,483.08268718,1.64004172567,4.05679886626,2.98023223877e-05,0.179839849472,0.0495793085832,0.00582909584045,0.0713728693087,1.13008566924,2.43085551761,66,1440,453.25,237.0,580.202496978,1.04613338808,2.21351057256,11,8,0
12,54,691,164.75,65.0,200.542649246,1.69366851482,4.44077884988,0.000273942947388,0.316467046738,0.0744656216015,0.00204491615295,0.116658506922,1.11969996646,2.42984011532,54,691,202.333333333,170.0,233.966284371,1.37151960262,3.2703854135,9,6,0
12,66,428,121.166666667,66.0,120.867581353,1.85554328941,4.56437340262,0.000152111053467,50.757324934,5.24084201726,0.165832996368,14.4638193823,2.79813216915,8.92790153621,66,428,112.25,66.0,119.371007787,2.26562758454,6.13732523535,10,8,0
14,66,1440,360.857142857,70.0,499.428224093,1.36509083798,3.25374926957,9.08374786377e-05,0.317047119141,0.0671879328214,0.000549077987671,0.119242907262,1.33293009081,2.86523095254,66,787,170.142857143,66,251.846000888,2.04072909075,5.16554148427,11,7,0
11,66,1440,329.272727273,66,490.690254254,1.56501971386,3.62198435649,0.0001220703125,55.9116208553,5.66053771973,0.0854794979095,16.7507269411,2.66644859717,8.11043107961,66,378,111.714285714,66,108.745724758,2.03851183686,5.16060554426,8,7,0
10,54,508,133.8,61.0,154.224381989,1.65695153012,3.99276294081,0.000151872634888,0.302124023438,0.0936652289497,0.0128479003906,0.123750684492,0.74369675726,1.62748228484,54,362,108.666666667,64.0,113.52924244,1.77265990072,4.16954425684,8,6,0
12,54,379,114.5,57.0,104.25729391,1.52129789397,3.8705506277,0.000304937362671,0.195496082306,0.0692915482955,0.0412590503693,0.0809323118877,0.742132835894,1.82776770812,54,379,140.5,141.0,123.42845431,1.06366870462,2.50023631327,9,6,0
10,66,789,175.2,70.0,216.226640357,2.21182448786,6.53945768316,0.000275135040283,0.165740966797,0.0546672344208,0.00482201576233,0.0728378217104,0.711442940395,1.52069215545,66,789,241.8,74,279.345234432,1.36004997854,3.03355864808,7,5,0
16,66,870,175.375,70.0,213.205263479,2.27202276788,7.35492892364,0.0001220703125,47.1455378532,3.62712405523,0.0368041992188,11.7332875773,3.37815907829,12.6235008212,66,870,220.777777778,66,264.402797841,1.61676760324,4.21424887659,11,9,0
12,66,795,162.083333333,68.0,220.457652144,2.13194596551,6.00190708345,0.000152111053467,0.400084972382,0.0405189990997,0.0061948299408,0.113783124393,2.83888416947,9.07575783924,66,795,171.285714286,66,254.645251441,2.04074026558,5.16556612785,9,7,0
12,54,716,160.833333333,65.0,197.968782612,1.88509982291,5.36789730791,0.000244140625,0.247802972794,0.0687644481659,0.00424194335938,0.107703669092,1.01933490565,2.04216896865,54,716,207.333333333,173.0,242.97507874,1.38304837863,3.29823291226,9,6,0
14,54,672,110.928571429,54.0,159.491363083,3.08478736117,10.9558484071,0.000335216522217,19.2400510311,2.93391069999,0.401580810547,5.41707105348,2.15509340341,6.54233287333,54,672,112.0,54,177.179929091,2.84070614078,9.08155171628,12,11,0
10,66,707,144.1,70.0,191.151484431,2.50424338627,7.5406087432,0.0001220703125,50.8095700741,6.33881979518,0.171509027481,15.813430776,2.42341871612,6.96830163698,66,190,88.0,70.0,45.7092259105,1.77286693496,4.16994293194,8,6,0
17,66,1440,358.0,66,514.81110185,1.52202764828,3.5107215882,0.0,39.8236689568,2.59821894765,0.000519037246704,9.61608457987,3.60905892428,14.0405605736,66,535,113.7,66.0,140.45358664,2.66523767795,8.10660948069,14,10,0
11,66,1440,315.090909091,66,465.176692636,1.62020328197,3.91892782997,3.00407409668e-05,58.3623359203,5.90072329044,0.0861665010452,17.4874932039,2.66650162079,8.11059671395,66,378,111.714285714,66,108.745724758,2.03851183686,5.16060554426,8,7,0
12,54,1440,241.75,59.0,398.499294228,2.27746180201,6.93320936833,0.0001220703125,56.1863100529,5.15686319091,0.000885009765625,16.1371149723,2.84592907569,9.09959199573,54,1440,339.142857143,54,492.856231883,1.49287411443,3.65276181795,9,7,0
12,66,1440,251.833333333,70.0,399.612694437,2.23309302401,6.67616250933,6.103515625e-05,0.166625976562,0.0491443547336,0.00347900390625,0.072067252699,0.980231390212,2.01060927659,66,698,157.428571429,66,220.704622997,2.04057477704,5.16520084522,9,7,0
196,66,1440,845.959183673,1440.0,647.406717232,-0.254962052363,1.15787932483,6.07967376709e-05,46.6127622128,0.267493927784,0.000244140625,3.3297632734,13.8272299637,192.457064769,66,613,138.756410256,66.0,179.318023312,2.06511655185,5.26983775899,165,78,0
891,66,1440,758.407407407,1440,684.642062111,-0.0104694730535,1.00134454566,0.0,43.6011350155,0.0629138732224,0.000488042831421,1.46080330463,29.7472260831,886.595967673,66,255,70.1018099548,66.0,10.5139875107,12.435957493,216.578377286,888,442,0
11,54,880,160.636363636,56,244.597730134,2.30816508819,6.87755056056,0.000335931777954,0.209777832031,0.07756960392,0.0511165857315,0.0909004232131,0.621644275519,1.57651605367,54,371,110.166666667,64.0,116.87659684,1.77356119431,4.1712785063,9,6,0
10,54,508,133.8,61.0,154.224381989,1.65695153012,3.99276294081,0.000212907791138,0.267119884491,0.0865206453535,0.00350999832153,0.115923627962,0.712631543006,1.54694132778,54,362,108.666666667,64.0,113.52924244,1.77265990072,4.16954425684,8,6,0
12,66,1440,292.166666667,70.0,446.810517881,1.77170570517,4.47467549099,0.000121831893921,55.5387270451,5.18480890447,0.00238108634949,15.9255907723,2.84456545004,9.09493912271,66,378,106.0,66.0,102.839681057,2.26488273847,6.1353974746,9,8,0
12,66,1440,293.25,70.0,445.769208784,1.76026973031,4.4594765255,9.20295715332e-05,56.5819089413,5.24010398171,0.0030210018158,16.2363331553,2.84564654413,9.09863567944,66,401,115.0,66,116.791633751,2.03887302157,5.16141453851,9,7,0
13,66,1084,244.538461538,74,363.804388561,1.80496068166,4.40272154538,0.000365972518921,28.8762509823,4.69435874621,0.342239022255,9.45479963405,1.84303654552,4.58213926606,66,315,100.625,70.0,81.1494570222,2.25411476183,6.10807685232,10,8,0
12,54,406,131.583333333,65.0,128.339042081,1.27621261699,2.81252710567,0.000212907791138,0.565856933594,0.0983027328144,0.0011899471283,0.165121614207,1.95611142684,5.93024494887,54,406,139.571428571,54,133.403637927,1.14043765689,2.55830274213,9,7,0
10,66,388,122.5,70.0,111.093879219,1.63089729956,3.86430866292,0.000152826309204,0.261627197266,0.123982773887,0.0838930606842,0.120734899937,0.121275894909,1.11152200954,66,388,121.0,70.0,119.441757076,1.78647141324,4.19565283905,8,6,0
10,66,642,155.1,70.0,184.909951057,1.88800675698,5.01327043269,0.0001220703125,0.268280029297,0.0837300088671,0.00292897224426,0.116029080837,0.724665351732,1.55305833758,66,642,182.8,66,229.620904972,1.49932043704,3.24908344087,8,5,0
13,54,382,110.076923077,56,102.069705849,1.65664416156,4.33454834084,6.103515625e-05,0.200562000275,0.0782725016276,0.074630856514,0.0880149817589,0.404716841592,1.30180849816,54,382,128.571428571,54,119.124013584,1.30468826448,3.08973256428,10,7,0
14,66,1440,330.214285714,70.0,483.08268718,1.64004172567,4.05679886626,0.000151872634888,0.174560070038,0.0428819106175,0.000671148300171,0.072264041791,1.25254440581,2.60300184323,66,1440,453.25,237.0,580.202496978,1.04613338808,2.21351057256,11,8,0
17,66,1440,380.0,66,514.853834198,1.39908567209,3.25999021615,0.000213861465454,39.8172910213,2.60027694702,0.00201392173767,9.61388702027,3.60908197305,14.0406670135,66,535,113.7,66.0,140.45358664,2.66523767795,8.10660948069,14,10,0
7,66,245,108.142857143,74,65.1776223023,1.26554375483,2.96213692842,0.000365972518921,0.0232241153717,0.00623067220052,0.00360107421875,0.00791133271347,1.49434679002,3.65632067703,66,245,112.75,155.0,76.4243907401,1.14844221506,2.32832403556,5,4,0
11,54,880,160.636363636,56,244.597730134,2.30816508819,6.87755056056,0.000214099884033,0.214630126953,0.0915466070175,0.0861510038376,0.0807167370224,0.387999169931,1.65012261958,54,371,110.166666667,64.0,116.87659684,1.77356119431,4.1712785063,9,6,0
12,54,1251,219.333333333,65.0,329.435712832,2.49106133684,8.05736303285,0.000123023986816,0.193755865097,0.0756586464969,0.016998052597,0.089061854091,0.538501530318,1.32532426871,54,373,128.857142857,54,117.813931472,1.22701746675,2.84343725946,8,7,0
644,66,1440,759.748447205,1440.0,685.074003402,-0.0162659882902,1.00296818127,6.07967376709e-05,30.2439579964,0.05100028437,0.000273942947388,1.19193348333,25.278397752,640.329619806,66,640,69.6529968454,66,32.3731121469,17.2520195475,303.921020904,641,317,0
12,66,384,129.25,70.0,109.495148294,1.34660998288,3.11706043211,0.00018310546875,42.3269050121,3.94670518962,0.158935070038,12.1373962229,2.84561068677,9.09851649864,66,384,141.142857143,66,120.512510994,1.16475769569,2.62074703942,9,7,0
12,54,401,131.166666667,65.0,127.452496597,1.26819494859,2.78112288754,0.000152111053467,0.807587146759,0.156519087878,0.000670909881592,0.245339565821,1.60674359421,4.66213695594,54,401,138.857142857,54,131.980981932,1.12902213371,2.52153601006,9,7,0
10,66,388,123.7,70.0,112.977918196,1.5965929726,3.70658962702,0.000244140625,0.745972156525,0.183478461372,0.0733041763306,0.231852077957,1.38380314017,4.02746338047,66,388,121.0,70.0,119.441757076,1.78647141324,4.19565283905,8,6,0
10,54,752,153.3,61.0,213.355126491,2.17932134841,6.26208428974,0.0001220703125,0.211333990097,0.0689121087392,0.00387597084045,0.0925372705693,0.707351958035,1.52497833398,54,752,197.6,54,277.30820399,1.49710305134,3.24604541231,8,5,0
7,66,579,172.285714286,74,181.440831982,1.5082009478,3.70025664619,0.000274896621704,43.8283691406,7.39025382201,0.150131464005,16.2959354694,1.78869894705,4.19972153194,66,281,110.6,66,85.2563194139,1.49511147237,3.24328057949,5,5,0
20,54,1394,262.1,65.0,396.150590054,2.25653180088,6.71327919314,0.000151872634888,29.785643816,2.92240026123,0.000794172286987,7.78441874803,2.68937707763,8.73418999143,54,1394,340.166666667,84.0,487.901088564,1.55878249823,3.69853319567,12,12,0
7,66,709,186.714285714,74,222.37980014,1.74857897853,4.40376470178,0.000153064727783,0.00546193122864,0.00241601467133,0.00285351276398,0.00233053665839,0.318478656104,1.31484087459,66,252,114.5,159.0,79.4528161867,1.14890766032,2.32870326463,5,4,0
145,66,1440,820.020689655,889,630.412765372,-0.166124966307,1.18321269376,6.07967376709e-05,46.6278688908,0.368482804961,0.000244140625,3.87174390321,11.8440407464,141.517765155,66,613,174.122807018,66,209.237971645,1.42687364869,3.04678914771,107,57,0
10,66,580,141.6,70.0,160.700466707,2.03492055997,5.65114681177,0.0001220703125,0.162657976151,0.0612352159288,0.0170900821686,0.071635529985,0.668335417481,1.49813675689,66,580,153.0,70.0,190.982547196,1.78791868688,4.19830538821,8,6,0
12,54,302,96.5,56.0,88.5442450605,1.78044939477,4.2025017302,6.07967376709e-05,48.5783989429,4.5796009844,0.0056459903717,13.9158765782,2.84438297354,9.09433728809,54,302,92.2857142857,54,85.8931467177,2.01463290128,5.10517136167,10,7,0
13,54,699,158.615384615,56,197.877405116,1.7862441211,4.79832912787,0.0001220703125,0.189208984375,0.0489349166552,0.00502002239227,0.0792646521203,1.15208682294,2.33547329296,54,699,185.571428571,54,227.025396404,1.54774664631,3.82269774931,10,7,0
11,66,1440,302.636363636,66,445.297096479,1.7106834857,4.37570234841,3.00407409668e-05,56.5901489258,5.72485351562,0.0820006132126,16.9554229801,2.66647557319,8.11051530657,66,378,111.714285714,66,108.745724758,2.03851183686,5.16060554426,8,7,0
18,54,1022,124.5,55.0,221.229958289,3.68708713048,15.056464841,0.000396966934204,16.0399169922,2.49552287775,0.157288074493,4.45457961628,1.94774784225,5.69673656177,54,1022,139.307692308,54,256.82361041,3.09380666587,10.7435325217,15,13,0
12,54,555,149.083333333,61.0,162.900510708,1.47437152523,3.66992059646,0.0001220703125,1.18737792969,0.174014004794,0.0232541561127,0.347337646118,2.25389971455,6.67767807666,54,555,130.142857143,54,173.600879336,2.03373751194,5.15004407528,9,7,0
