inst#,actual,predicted,error,prediction
134,2:1,2:1,,1
135,2:1,2:1,,0.75
136,2:1,2:1,,0.77
137,2:1,2:1,,0.75
138,2:1,2:1,,1
139,2:1,2:1,,0.952
140,2:1,2:1,,0.853
141,2:1,2:1,,0.8
142,2:1,2:1,,1
143,2:1,2:1,,0.75
144,2:1,1:0,+,0.58
145,2:1,1:0,+,0.71
146,2:1,2:1,,0.778
147,2:1,2:1,,0.54
148,2:1,2:1,,0.92
149,2:1,1:0,+,1
150,2:1,2:1,,1
151,2:1,2:1,,0.72
152,2:1,2:1,,0.904
153,2:1,2:1,,0.859
154,2:1,2:1,,0.91
155,2:1,2:1,,0.87
1,1:0,1:0,,1
2,1:0,1:0,,1
3,1:0,2:1,+,0.601
4,1:0,1:0,,0.902
5,1:0,1:0,,0.736
6,1:0,1:0,,0.971
7,1:0,1:0,,0.971
8,1:0,1:0,,0.9
9,1:0,1:0,,0.993
10,1:0,1:0,,0.988
11,1:0,1:0,,0.639
12,1:0,1:0,,0.971
13,1:0,1:0,,0.97
14,1:0,1:0,,0.66
15,1:0,1:0,,0.996
16,1:0,1:0,,0.979
17,1:0,1:0,,0.556
18,1:0,1:0,,0.96
19,1:0,1:0,,0.78
20,1:0,1:0,,0.98
21,1:0,2:1,+,0.503
22,1:0,1:0,,0.82
23,1:0,1:0,,0.92
24,1:0,1:0,,0.517
25,1:0,1:0,,0.95
26,1:0,1:0,,0.919
27,1:0,1:0,,1
28,1:0,1:0,,0.971
29,1:0,1:0,,0.799
30,1:0,1:0,,0.89
31,1:0,1:0,,0.82
32,1:0,1:0,,0.959
33,1:0,1:0,,0.861
34,1:0,1:0,,0.97
35,1:0,2:1,+,0.513
36,1:0,1:0,,0.747
37,1:0,1:0,,0.971
38,1:0,1:0,,0.743
39,1:0,1:0,,1
40,1:0,1:0,,0.971
41,1:0,1:0,,0.971
42,1:0,1:0,,0.971
43,1:0,1:0,,0.6
44,1:0,1:0,,0.97
45,1:0,1:0,,0.971
46,1:0,1:0,,0.95
47,1:0,1:0,,1
48,1:0,1:0,,0.971
49,1:0,1:0,,1
50,1:0,1:0,,0.971
51,1:0,1:0,,0.948
52,1:0,1:0,,0.97
53,1:0,1:0,,0.94
54,1:0,1:0,,0.971
55,1:0,1:0,,1
56,1:0,1:0,,0.94
57,1:0,1:0,,0.887
58,1:0,1:0,,0.97
59,1:0,1:0,,0.99
60,1:0,1:0,,1
61,1:0,1:0,,0.971
62,1:0,1:0,,0.96
63,1:0,1:0,,0.889
64,1:0,1:0,,0.94
65,1:0,1:0,,0.971
66,1:0,1:0,,0.971
67,1:0,1:0,,0.971
68,1:0,1:0,,1
69,1:0,1:0,,0.971
70,1:0,1:0,,0.988
71,1:0,1:0,,1
72,1:0,1:0,,0.915
73,1:0,1:0,,0.679
74,1:0,1:0,,0.922
75,1:0,1:0,,0.899
76,1:0,1:0,,1
77,1:0,1:0,,0.97
78,1:0,1:0,,0.971
79,1:0,1:0,,0.99
80,1:0,1:0,,0.989
81,1:0,1:0,,0.935
82,1:0,1:0,,0.691
83,1:0,1:0,,0.909
84,1:0,1:0,,0.828
85,1:0,1:0,,0.99
86,1:0,1:0,,0.971
87,1:0,1:0,,0.844
88,1:0,1:0,,0.789
89,1:0,1:0,,0.799
90,1:0,1:0,,0.971
91,1:0,1:0,,0.876
92,2:1,2:1,,1
93,2:1,2:1,,1
94,2:1,1:0,+,0.798
95,2:1,1:0,+,0.678
96,2:1,2:1,,1
97,2:1,2:1,,1
98,2:1,1:0,+,0.64
99,2:1,2:1,,0.651
100,2:1,1:0,+,0.809
101,2:1,2:1,,1
102,2:1,2:1,,1
103,2:1,2:1,,0.9
104,2:1,2:1,,0.97
105,2:1,1:0,+,0.971
106,2:1,2:1,,0.743
107,2:1,2:1,,0.79
108,2:1,2:1,,0.94
109,2:1,1:0,+,0.76
110,2:1,2:1,,0.98
111,2:1,1:0,+,0.58
112,2:1,2:1,,0.951
113,2:1,2:1,,0.948
114,2:1,2:1,,0.78
115,2:1,2:1,,0.88
116,2:1,2:1,,0.821
117,2:1,2:1,,0.623
118,2:1,2:1,,0.835
119,2:1,2:1,,0.811
120,2:1,1:0,+,0.758
121,2:1,1:0,+,0.681
122,2:1,2:1,,0.91
123,2:1,2:1,,1
124,2:1,1:0,+,0.523
125,2:1,1:0,+,0.55
126,2:1,2:1,,0.951
127,2:1,1:0,+,0.64
128,2:1,2:1,,0.965
129,2:1,2:1,,0.592
130,2:1,2:1,,0.79
